name,priceWithTax,imageUrl
悪魔の数字セット,66666,https://pbs.twimg.com/media/G0Jg8sia0AArnM2?format=jpg&name=large
桃汁サマーセット,22300,https://pbs.twimg.com/media/G0JgaxMbkAATdJg?format=jpg&name=large
もも市民セット,5500,https://pbs.twimg.com/media/G0Jd8BbbMAAyWys?format=jpg&name=medium
ランダムコレクションカード,330,https://pbs.twimg.com/media/G0JfRZqbUAMEuu5?format=jpg&name=large
ランダムコレクションカード10連ガチャ,3000,https://pbs.twimg.com/media/G0JfRZqbUAMEuu5?format=jpg&name=large
水着桃汁SDアクキー,1210,./mizuki-sd.png
水着ほうとう組クリアファイル,880,./clearfile.png
山梨首都化が達成した後に使える通貨ステッカー,660,./money.png
水着桃汁ジオラマアクリルスタンド,2530,https://imagedelivery.net/QondspN4HIUvB_R16-ddAQ/636625124aed191d10e4efd2/df8c0b62bf7d4ceced4c.jpg/fit=cover
水着桃汁アクリルキーホルダー,1210,https://imagedelivery.net/QondspN4HIUvB_R16-ddAQ/636625124aed191d10e4efd2/538d42d6bf0bd298f9f6.jpg/fit=cover
サイン入り水着ボスアクスタ,2200,./mizugi-boss.png
サイン入り水着司令官アクスタ,2200,./mizugi-sireikan.png
SNS風アクリルカード,1500,https://imagedelivery.net/QondspN4HIUvB_R16-ddAQ/636625124aed191d10e4efd2/e8aa8d2d062685e5ea07.jpg/fit=cover
運営SNS風アクリルカード,1500,https://imagedelivery.net/QondspN4HIUvB_R16-ddAQ/636625124aed191d10e4efd2/b7638b8b064606948a3c.jpg/fit=cover
チャイナ桃汁ホログラムカード,500,https://imagedelivery.net/QondspN4HIUvB_R16-ddAQ/636625124aed191d10e4efd2/237b5c5e7435426ad3b8.jpg/fit=cover
チャイナ桃汁缶バッジ,450,https://imagedelivery.net/QondspN4HIUvB_R16-ddAQ/636625124aed191d10e4efd2/dd2a0280d8b75b51c6d4.jpg/fit=cover
チャイナ桃汁アクスタ,1700,https://imagedelivery.net/QondspN4HIUvB_R16-ddAQ/636625124aed191d10e4efd2/36c13b1f88474d63b90b.jpg/fit=cover
Tシャツ桃汁マグカップ,2750,./t-mag.png
